A009;Choléra, sans précision
O295;Autres complications d'une rachianesthésie et d'une anesthésie épidurale au cours de la grossesse
O296;Échec ou difficulté d'intubation au cours de la grossesse
O298;Autres complications d'une anesthésie au cours de la grossesse
O299;Complication d'une anesthésie au cours de la grossesse, sans précision
O300;Grossesse multiple : jumeaux
O301;Grossesse multiple : triplés
O302;Grossesse multiple : quadruplés
O308;Autres grossesses multiples
O309;Grossesse multiple, sans précision
O310;Fotus papyracé
O311;Poursuite de la grossesse après avortement d'un ou plusieurs fotus
O312;Poursuite de la grossesse après mort intra-utérine d'un ou plusieurs fotus
O318;Autres complications spécifiques à une grossesse multiple
O320;Soins maternels pour position instable
O321;Soins maternels pour présentation du siège
O322;Soins maternels pour position transverse et oblique
O323;Soins maternels pour présentation de la face, du front et du menton
O324;Soins maternels pour tête haute à terme
O325;Soins maternels pour grossesse multiple avec présentation anormale d'un ou plusieurs fotus
O326;Soins maternels pour présentation complexe
O328;Soins maternels pour d'autres présentations anormales du fotus
O329;Soins maternels pour présentation anormale du fotus, sans précision
O330;Soins maternels pour disproportion due à une malformation du bassin de la mère
O331;Soins maternels pour disproportion due à un bassin maternel généralement rétréci
O332;Soins maternels pour disproportion due à un rétrécissement du détroit supérieur (du bassin maternel)
O333;Soins maternels pour disproportion due à un rétrécissement du détroit inférieur
O334;Soins maternels pour disproportion foto-pelvienne d'origine mixte, maternelle et fotale
O335;Soins maternels pour disproportion due à un fotus anormalement gros
O336;Soins maternels pour disproportion due à un fotus hydrocéphale
O337;Soins maternels pour disproportion due à d'autres anomalies du fotus
O338;Soins maternels pour disproportion d'autres origines
O339;Soins maternels pour disproportion, sans précision
O340;Soins maternels pour malformation congénitale de l'utérus
O341;Soins maternels pour tumeur du corps de l'utérus
O342;Soins maternels pour cicatrice utérine due à une intervention chirurgicale antérieure
O343;Soins maternels pour béance du col
O344;Soins maternels pour d'autres anomalies du col
O345;Soins maternels pour d'autres anomalies de l'utérus gravide
O346;Soins maternels pour anomalies du vagin
O347;Soins maternels pour anomalies de la vulve et du périnée
O348;Soins maternels pour d'autres anomalies des organes pelviens
O349;Soins maternels pour anomalie d'un organe pelvien, sans précision
O350;Soins maternels pour malformation (présumée) du système nerveux central du fotus
O351;Soins maternels pour anomalie chromosomique (présumée) du fotus
O352;Soins maternels pour maladie héréditaire (présumée) du fotus
O353;Soins maternels pour lésions fotales (présumées) résultant d'une maladie virale de la mère
O354;Soins maternels pour lésions fotales (présumées) dues à l'alcoolisme maternel
O355;Soins maternels pour lésions fotales (présumées) médicamenteuses
O356;Soins maternels pour lésions fotales (présumées) dues à une irradiation
O357;Soins maternels pour lésions fotales (présumées) dues à d'autres actes à visée diagnostique et thérapeutique
O358;Soins maternels pour d'autres anomalies et lésions fotales (présumées)
O359;Soins maternels pour anomalie et lésion fotales (présumées), sans précision
O360;Soins maternels pour iso-immunisation anti-Rh
O361;Soins maternels pour une autre iso-immunisation
O362;Soins maternels pour anasarque foto-placentaire
O363;Soins maternels pour signes d'hypoxie fotale
O364;Soins maternels pour mort intra-utérine du fotus
O365;Soins maternels pour croissance insuffisante du fotus
O366;Soins maternels pour croissance excessive du fotus
O367;Soins maternels pour grossesse abdominale avec fotus viable
O368;Soins maternels pour d'autres affections précisées du fotus
O369;Soins maternels pour affection du fotus, sans précision
O40;Hydramnios
O410;Oligoamnios
O411;Infection du sac amniotique et des membranes
O418;Autres anomalies précisées du liquide amniotique et des membranes
O419;Anomalie du liquide amniotique et des membranes, sans précision
O420;Rupture prématurée des membranes, avec début du travail dans les 24 heures
O421;Rupture prématurée des membranes, avec début du travail au-delà des 24 heures
O422;Rupture prématurée des membranes, travail retardé par traitement
O429;Rupture prématurée des membranes, sans précision
O430;Syndromes de transfusion placentaire
O431;Malformation du placenta
O438;Autres anomalies du placenta
O439;Anomalie du placenta, sans précision
O440;Placenta praevia précisé sans hémorragie
O441;Placenta praevia avec hémorragie
O450;Décollement prématuré du placenta avec anomalie de la coagulation
O458;Autres décollements prématurés du placenta
O459;Décollement prématuré du placenta, sans précision
O460;Hémorragie précédant l'accouchement avec anomalie de la coagulation
O468;Autres hémorragies précédant l'accouchement
O469;Hémorragie précédant l'accouchement, sans précision
O470;Faux travail avant 37 semaines entières de gestation
O471;Faux travail à ou après la 37ème semaine entière de gestation
O479;Faux travail, sans précision
O48;Grossesse prolongée
O60;Accouchement avant terme
O610;Échec du déclenchement médical (du travail)
O611;Échec du déclenchement instrumental (du travail)
O618;Autres échecs du déclenchement du travail
O619;Échec du déclenchement du travail, sans précision
O620;Contractions (utérines) initiales insuffisantes
O621;Inertie utérine secondaire
O622;Autres formes d'inertie utérine
O623;Travail trop rapide
O624;Contractions utérines hypertoniques, non coordonnées et prolongées
O628;Autres anomalies des forces en jeu au cours du travail
O629;Anomalie des forces en jeu au cours du travail, sans précision
O630;Prolongation de la première période [dilatation]
O631;Prolongation de la deuxième période [expulsion]
O632;Accouchement retardé du deuxième jumeau, triplé, etc.
O639;Travail prolongé, sans précision
O640;Dystocie due à une rotation incomplète de la tête du fotus
O641;Dystocie due à une présentation du siège
O642;Dystocie due à une présentation de la face
O643;Dystocie due à une présentation du front
O644;Dystocie due à une présentation de l'épaule
O645;Dystocie due à une présentation complexe
O648;Dystocie due à d'autres positions et présentations anormales
O649;Dystocie due à une position et une présentation anormales, sans précision
O650;Dystocie due à une déformation pelvienne
O651;Dystocie due à un bassin généralement rétréci
O652;Dystocie due à un rétrécissement du détroit supérieur
O653;Dystocie due à un rétrécissement du détroit inférieur et de la cavité moyenne
O654;Dystocie due à une disproportion foto-pelvienne, sans précision
O655;Dystocie due à une anomalie des organes pelviens de la mère
O658;Dystocie due à d'autres anomalies pelviennes de la mère
O659;Dystocie due à une anomalie pelvienne de la mère, sans précision
O660;Dystocie des épaules
O661;Dystocie gémellaire
O662;Dystocie due à un fotus anormalement gros
O663;Dystocie due à d'autres anomalies fotales
O664;Échec de l'épreuve de travail, sans précision
O665;Échec de l'application d'une ventouse et d'un forceps, sans précision
O668;Autres dystocies précisées
O669;Dystocie, sans précision
O670;Hémorragie pendant l'accouchement avec anomalie de la coagulation
O678;Autres hémorragies pendant l'accouchement
O679;Hémorragie pendant l'accouchement, sans précision
O680;Travail et accouchement compliqués d'une anomalie du rythme cardiaque du fotus
O681;Travail et accouchement compliqués de la présence de méconium dans le liquide amniotique
O682;Travail et accouchement compliqués d'une anomalie du rythme cardiaque du fotus avec présence de méconium dans le liquide amniotique
O683;Travail et accouchement compliqués de signes biochimiques de détresse fotale
O688;Travail et accouchement compliqués d'autres signes de détresse fotale
O689;Travail et accouchement compliqués d'une détresse fotale, sans précision
O690;Travail et accouchement compliqués d'un prolapsus du cordon
O691;Travail et accouchement compliqués d'une circulaire du cordon, avec compression
O692;Travail et accouchement compliqués d'une autre forme d'enchevêtrement du cordon
O693;Travail et accouchement compliqués d'une brièveté du cordon
O694;Travail et accouchement compliqués par une insertion vélamenteuse du cordon
O695;Travail et accouchement compliqués de lésions vasculaires du cordon
O698;Travail et accouchement compliqués d'autres anomalies du cordon ombilical
O699;Travail et accouchement compliqués d'une anomalie du cordon ombilical, sans précision
O700;Déchirure obstétricale du périnée, du premier degré
O701;Déchirure obstétricale du périnée, du deuxième degré
O702;Déchirure obstétricale du périnée, du troisième degré
O703;Déchirure obstétricale du périnée, du quatrième degré
O709;Déchirure obstétricale du périnée, sans précision
O710;Rupture de l'utérus avant le début du travail
O711;Rupture de l'utérus pendant le travail
O712;Inversion post-partum de l'utérus
O713;Déchirure obstétricale du col de l'utérus
O714;Déchirure obstétricale vaginale haute isolée
O715;Autres lésions obstétricales des organes pelviens
O716;Lésions obstétricales intéressant les articulations et les ligaments pelviens
O717;Hématome pelvien d'origine osbtétricale
O718;Autres traumatismes obstétricaux précisés
O719;Traumatisme obstétrical, sans précision
O720;Hémorragie de la délivrance (troisième période)
O721;Autres hémorragies immédiates du post-partum
O722;Hémorragie du post-partum, tardive et secondaire
O723;Anomalie de la coagulation au cours du post-partum
O730;Rétention du placenta sans hémorragie
O731;Rétention partielle du placenta et des membranes, sans hémorragie
O740;Pneumopathie par aspiration due à une anesthésie au cours du travail et de l'accouchement
O741;Autres complications pulmonaires de l'anesthésie au cours du travail et de l'accouchement
O742;Complications cardiaques de l'anesthésie au cours du travail et de l'accouchement
O743;Complications intéressant le système nerveux central dues à l'anesthésie au cours du travail et de l'accouchement
O744;Réaction toxique à une anesthésie locale au cours du travail et de l'accouchement
O745;Céphalée provoquée par une rachianesthésie et une anesthésie épidurale au cours du travail et de l'accouchement
O746;Autres complications d'une rachianesthésie et d'une anesthésie épidurale au cours du travail et de l'accouchement
O747;Échec ou difficulté d'intubation au cours du travail et de l'accouchement
O748;Autres complications de l'anesthésie au cours du travail et de l'accouchement
O749;Complication de l'anesthésie au cours du travail et de l'accouchement, sans précision
O750;Épuisement maternel au cours du travail et de l'accouchement
O751;Choc pendant ou après le travail et l'accouchement
O752;Pyrexie au cours du travail, non classée ailleurs
O753;Autres infections au cours du travail
O754;Autres complications d'un acte de chirurgie obstétricale et d'un acte à visée diagnostique et thérapeutique
O755;Accouchement retardé après rupture artificielle des membranes
O756;Accouchement retardé après rupture spontanée ou non précisée des membranes
O757;Accouchement par voie vaginale après une césarienne
O758;Autres complications précisées du travail et de l'accouchement
O759;Complication du travail et de l'accouchement, sans précision
O800;Accouchement (unique) spontané par présentation du sommet
O801;Accouchement (unique) spontané par présentation du siège
O808;Autres accouchements uniques et spontanés
O809;Accouchement (unique et) spontané, sans précision
O810;Accouchement (unique) par forceps bas
O811;Accouchement (unique) par forceps (moyen) à la partie moyenne de l'excavation
O812;Accouchement (unique) par forceps (moyen) à la partie moyenne de l'excavation, avec rotation
O813;Accouchements (unique) par forceps, autres et sans précision
O814;Accouchement (unique) par extraction pneumatique
O815;Accouchement (unique) par association d'un forceps et d'une ventouse
O820;Accouchement (unique) par césarienne programmée
O821;Accouchement (unique) par césarienne d'urgence
O822;Accouchement (unique) par césarienne avec hystérectomie
O828;Autres accouchements uniques par césarienne
O829;Accouchement (unique) par césarienne, sans précision
O830;Accouchement (unique) avec extraction par le siège
O831;Autres accouchements (uniques) par le siège (avec assistance)
O832;Autres accouchements (uniques) avec l'aide de manipulations
O833;Accouchement d'un fotus viable après grossesse abdominale
O834;Intervention destructrice lors d'un accouchement
O838;Autres accouchements (uniques) précisés, avec assistance
O839;Accouchement (unique) avec assistance, sans précision
O840;Accouchements multiples, tous spontanés
O841;Accouchements multiples, tous avec forceps et ventouse
O842;Accouchements multiples, tous par césarienne
O848;Autres accouchements multiples
O849;Accouchements multiples, sans précision
O85;Septicémie puerpérale
O860;Infection d'une plaie d'origine obstétricale chirurgicale
O861;Autres infections des voies génitales, après accouchement
O862;Infection des voies urinaires, après accouchement
O863;Autres infections des voies génito-urinaires, après accouchement
O864;Hyperthermie (d'origine inconnue), après accouchement
O868;Autres infections puerpérales précisées
O870;Thrombophlébite superficielle au cours de la puerpéralité
O871;Phlébothrombose profonde au cours de la puerpéralité
O872;Hémorroïdes au cours de la puerpéralité
O873;Thrombose veineuse cérébrale au cours de la puerpéralité
O878;Autres complications veineuses au cours de la puerpéralité
O879;Complication veineuse au cours de la puerpéralité, sans précision
O880;Embolie gazeuse obstétricale
O881;Embolie amniotique
O882;Embolie obstétricale (par caillot sanguin)
O883;Embolie pyohémique et septique, obstétricale
O888;Autres embolies obstétricales
O890;Complications pulmonaires de l'anesthésie au cours de la puerpéralité
O891;Complications cardiaques de l'anesthésie au cours de la puerpéralité
O892;Complications intéressant le système nerveux central dues à une anesthésie au cours de la puerpéralité
O893;Réaction toxique à une anesthésie locale au cours de la puerpéralité
O894;Céphalée provoquée par une rachianesthésie et une anesthésie épidurale au cours de la puerpéralité
O895;Autres complications d'une rachianesthésie et d'une anesthésie épidurale au cours de la puerpéralité
O896;Échec ou difficulté d'intubation au cours de la puerpéralité
O898;Autres complications de l'anesthésie au cours de la puerpéralité
O899;Complication de l'anesthésie au cours de la puerpéralité, sans précision
O900;Rupture d'une suture de césarienne
O901;Rupture d'une suture obstétricale du périnée
O902;Hématome d'une plaie obstétricale
O903;Myocardiopathie au cours de la puerpéralité
O904;Insuffisance rénale aiguë du post-partum
O905;Thyroïdite du post-partum
O908;Autres complications puerpérales, non classées ailleurs
O909;Complication puerpérale, sans précision
O910;Infection du mamelon associée à l'accouchement
O911;Abcès du sein associé à l'accouchement
O912;Mastite (non purulente) associée à l'accouchement
O920;Invagination du mamelon associée à l'accouchement
O921;Crevasses du mamelon associées à l'accouchement
O922;Mastopathies associées à l'accouchement, autres et sans précision
O923;Agalactie
O924;Hypogalactie
O925;Suppression de la lactation
O926;Galactorrhée
O927;Anomalies de la lactation, autres et sans précision
O95;Mort d'origine obstétricale de cause non précisée
O96;Mort d'origine obstétricale, survenant plus de 42 jours mais moins d'un an après l'accouchement
O97;Mort de séquelles relevant directement d'une cause obstétricale
O980;Tuberculose compliquant la grossesse, l'accouchement et la puerpéralité
O981;Syphilis compliquant la grossesse, l'accouchement et la puerpéralité
O982;Gonococcie compliquant la grossesse, l'accouchement et la puerpéralité
O983;Autres maladies dont le mode de transmission est essentiellement sexuel, compliquant la grossesse, l'accouchement et la puerpéralité
O984;Hépatite virale compliquant la grossesse, l'accouchement et la puerpéralité
O985;Autres maladies virales compliquant la grossesse, l'accouchement et la puerpéralité
O986;Maladies à protozoaires compliquant la grossesse, l'accouchement et la puerpéralité
O988;Autres maladies infectieuses et parasitaires de la mère compliquant la grossesse, l'accouchement et la puerpéralité
O989;Maladie infectieuse ou parasitaire de la mère compliquant la grossesse, l'accouchement et la puerpéralité, sans précision
O990;Anémie compliquant la grossesse, l'accouchement et la puerpéralité
O991;Autres maladies du sang et des organes hématopoïétiques et certaines anomalies du système immunitaire compliquant la grossesse, l'accouchement et la puerpéralité
O992;Maladies endocriniennes, nutritionnelles et métaboliques compliquant la grossesse, l'accouchement et la puerpéralité
O993;Troubles mentaux et maladies du système nerveux compliquant la grossesse, l'accouchement et la puerpéralité
O994;Maladies de l'appareil circulatoire compliquant la grossesse, l'accouchement et la puerpéralité
O995;Maladies de l'appareil respiratoire compliquant la grossesse, l'accouchement et la puerpéralité
O996;Maladies de l'appareil digestif compliquant la grossesse, l'accouchement et la puerpéralité
O997;Maladies de la peau et du tissu cellulaire sous-cutané compliquant la grossesse, l'accouchement et la puerpéralité
O998;Autres maladies et affections précisées compliquant la grossesse, l'accouchement et la puerpéralité
P000;Fotus et nouveau-né affectés par des troubles hypertensifs de la mère
P001;Fotus et nouveau-né affectés par des maladies rénales et des voies urinaires de la mère
P002;Fotus et nouveau-né affectés par des maladies infectieuses et parasitaires de la mère
P003;Fotus et nouveau-né affectés par d'autres maladies circulatoires et respiratoires de la mère
P004;Fotus et nouveau-né affectés par des troubles nutritionnels de la mère
P005;Fotus et nouveau-né affectés par un traumatisme de la mère
P006;Fotus et nouveau-né affectés par une intervention chirurgicale chez la mère
P007;Fotus et nouveau-né affectés par d'autres interventions médicales chez la mère, non classées ailleurs
P008;Fotus et nouveau-né affectés par d'autres affections maternelles
P009;Fotus et nouveau-né affectés par une affection maternelle, sans précision
P010;Fotus et nouveau-né affectés par la béance du col
P011;Fotus et nouveau-né affectés par la rupture prématurée des membranes
P012;Fotus et nouveau-né affectés par un oligoamnios
P013;Fotus et nouveau-né affectés par un hydramnios
P014;Fotus et nouveau-né affectés par une grossesse extra-utérine
P015;Fotus et nouveau-né affectés par une grossesse multiple
P016;Fotus et nouveau-né affectés par la mort de la mère
P017;Fotus et nouveau-né affectés par une présentation anormale avant le travail
P018;Fotus et nouveau-né affectés par d'autres complications de la grossesse chez la mère
P019;Fotus et nouveau-né affectés par une complication de la grossesse chez la mère, sans précision
P020;Fotus et nouveau-né affectés par placenta praevia
P021;Fotus et nouveau-né affectés par d'autres formes de décollement et d'hémorragie placentaires
P022;Fotus et nouveau-né affectés par des anomalies morphologiques et fonctionnelles du placenta, autres et sans précision
P023;Fotus et nouveau-né affectés par des syndromes de transfusion placentaire
P024;Fotus et nouveau-né affectés par une insertion vélamenteuse du cordon ombilical
P025;Fotus et nouveau-né affectés par d'autres formes de compression du cordon ombilical
P026;Fotus et nouveau-né affectés par des affections du cordon ombilical, autres et sans précision
P027;Fotus et nouveau-né affectés par une chorio-amniotite
P028;Fotus et nouveau-né affectés par d'autres anomalies des membranes
P029;Fotus et nouveau-né affectés par une anomalie des membranes, sans précision
P030;Fotus et nouveau-né affectés par un accouchement et une extraction par le siège
P031;Fotus et nouveau-né affectés par d'autres présentations et positions vicieuses du fotus et disproportions foto-pelviennes au cours du travail et de l'accouchement
P032;Fotus et nouveau-né affectés par un accouchement par forceps
P033;Fotus et nouveau-né affectés par un accouchement par extracteur pneumatique [ventouse]
P034;Fotus et nouveau-né affectés par un accouchement par césarienne
P035;Fotus et nouveau-né affectés par un accouchement précipité
P036;Fotus et nouveau-né affectés par des contractions anormales de l'utérus
P038;Fotus et nouveau-né affectés par d'autres complications précisées du travail et de l'accouchement
P039;Fotus et nouveau-né affectés par une complication du travail et de l'accouchement, sans précision
P040;Fotus et nouveau-né affectés par une anesthésie et par une analgésie de la mère, au cours de la grossesse, du travail et de l'accouchement
P041;Fotus et nouveau-né affectés par d'autres médicaments absorbés par la mère
P042;Fotus et nouveau-né affectés par le tabagisme de la mère
P043;Fotus et nouveau-né affectés par l'alcoolisme de la mère
P044;Fotus et nouveau-né affectés par toxicomanie de la mère
P045;Fotus et nouveau-né affectés par une utilisation par la mère de substances chimiques nutritionnelles
P046;Fotus et nouveau-né affectés par l'exposition de la mère à des substances chimiques de l'environnement
P048;Fotus et nouveau-né affectés par d'autres effets nocifs maternels
P049;Fotus et nouveau-né affectés par un effet nocif maternel, sans précision
P050;Faible poids pour l'âge gestationnel
P051;Petite taille pour l'âge gestationnel
P052;Malnutrition du fotus, sans mention de léger ou petit pour l'âge gestationnel
P059;Croissance lente du fotus, sans précision
P070;Poids extrêmement faible à la naissance
P071;Autres poids faibles à la naissance
P072;Immaturité extrême
P073;Autres enfants nés avant terme
P080;Enfant exceptionnellement gros
P081;Autres enfants gros pour l'âge gestationnel
P082;Enfant né après terme, qui n'est pas gros pour l'âge gestationnel
P100;Hémorragie sous-durale due à un traumatisme obstétrical
P101;Hémorragie cérébrale due à un traumatisme obstétrical
P102;Hémorragie intraventriculaire due à un traumatisme obstétrical
P103;Hémorragie sous-arachnoïdienne due à un traumatisme obstétrical
P104;Déchirure de la tente du cervelet due à un traumatisme obstétrical
P108;Autres déchirures et hémorragies intracrâniennes dues à un traumatisme obstétrical
P109;Déchirure et hémorragie intracrâniennes non précisées, dues à un traumatisme obstétrical
P110;Oedème cérébral dû à un traumatisme obstétrical
P111;Autres lésions cérébrales précisées, dues à un traumatisme obstétrical
P112;Lésion cérébrale non précisée, due à un traumatisme obstétrical
P113;Lésion du nerf facial due à un traumatisme obstétrical
P114;Lésion des autres nerfs crâniens due à un traumatisme obstétrical
P115;Lésion du rachis et de la moelle épinière due à un traumatisme obstétrical
P119;Lésion du système nerveux central due à un traumatisme obstétrical, sans précision
P120;Céphalhématome dû à un traumatisme obstétrical
P121;Hématome en chignon dû à un traumatisme obstétrical
P122;Hémorragie épicrânienne sous-aponévrotique due à un traumatisme obstétrical
P123;Meurtrissure du cuir chevelu due à un traumatisme obstétrical
P124;Lésion du cuir chevelu liée à une surveillance électronique continue (obstétricale)
P128;Autres lésions du cuir chevelu dues à un traumatisme obstétrical
P129;Lésion du cuir chevelu due à un traumatisme obstétrical, sans précision
P130;Fracture du crâne due à un traumatisme obstétrical
P131;Autres lésions du crâne dues à un traumatisme obstétrical
P132;Lésion du fémur due à un traumatisme obstétrical
P133;Lésion d'autres os longs due à un traumatisme obstétrical
P134;Fracture de la clavicule due à un traumatisme obstétrical
P138;Lésions d'autres parties du squelette dues à un traumatisme obstétrical
P139;Lésion du squelette due à un traumatisme obstétrical, sans précision
P140;Paralysie de Duchenne-Erb due à un traumatisme obstétrical
P141;Paralysie de Dejerine-Klumpke due à un traumatisme obstétrical
P142;Paralysie du nerf phrénique due à un traumatisme obstétrical
P143;Autres lésions du plexus brachial dues à un traumatisme obstétrical
P148;Lésions d'autres parties du système nerveux périphérique dues à un traumatisme obstétrical
P149;Lésion du système nerveux périphérique due à un traumatisme obstétrical, sans précision
P150;Traumatisme obstétrical du foie
P151;Traumatisme obstétrical de la rate
P152;Lésion sterno-cléido-mastoïdienne due à un traumatisme obstétrical
P153;Lésion de l'oil due à un traumatisme obstétrical
P154;Lésion faciale due à un traumatisme obstétrical
P155;Lésion des organes génitaux externes due à un traumatisme obstétrical
P156;Adiponécrose sous-cutanée due à un traumatisme obstétrical
P158;Autres traumatismes obstétricaux précisés
P159;Traumatisme obstétrical, sans précision
P200;Hypoxie intra-utérine constatée pour la première fois avant le début du travail
P201;Hypoxie intra-utérine constatée pour la première fois pendant le travail et l'accouchement
P209;Hypoxie intra-utérine, sans précision
P210;Asphyxie obstétricale grave
P211;Asphyxie obstétricale légère ou modérée
P219;Asphyxie obstétricale, sans précision
P220;Syndrome de détresse respiratoire du nouveau-né
P221;Tachypnée transitoire du nouveau-né
P228;Autres détresses respiratoires du nouveau-né
P229;Détresse respiratoire du nouveau-né, sans précision
P230;Pneumopathie congénitale due à un agent viral
P231;Pneumopathie congénitale à Chlamydia
P232;Pneumopathie congénitale à staphylocoques
P233;Pneumopathie congénitale à streptocoques, groupe B
P234;Pneumopathie congénitale à Escherichia coli
P235;Pneumopathie congénitale à Pseudomonas
P236;Pneumopathie congénitale due à d'autres agents bactériens
P238;Pneumopathie congénitale due à d'autres micro-organismes
P239;Pneumopathie congénitale, sans précision
P240;Aspiration néonatale de méconium
P241;Aspiration néonatale de liquide amniotique et de mucus
P242;Aspiration néonatale de sang
P243;Aspiration néonatale de lait et d'aliments régurgités
P248;Autres syndromes néonatals d'aspiration
P249;Syndrome néonatal d'aspiration, sans précision
P250;Emphysème interstitiel survenant pendant la période périnatale
P251;Pneumothorax survenant pendant la période périnatale
P252;Pneumomédiastin survenant pendant la période périnatale
P253;Pneumopéricarde survenant pendant la période périnatale
P258;Autres affections apparentées à l'emphysème interstitiel survenant pendant la période périnatale
P260;Hémorragie trachéobronchique survenant pendant la période périnatale
P261;Hémorragie pulmonaire massive survenant pendant la période périnatale
P268;Autres hémorragies pulmonaires survenant pendant la période périnatale
P269;Hémorragie pulmonaire non précisée survenant pendant la période périnatale
P270;Syndrome de Wilson-Mikity
P271;Dysplasie broncho-pulmonaire survenant pendant la période périnatale
P278;Autres maladies respiratoires chroniques survenant pendant la période périnatale
P279;Maladie respiratoire chronique non précisée survenant pendant la période périnatale
P280;Atélectasie primitive du nouveau-né
P281;Atélectasies du nouveau-né, autres et sans précision
P282;Crises de cyanose du nouveau-né
P283;Apnée (primitive) du sommeil chez le nouveau-né
P284;Autres apnées du nouveau-né
P285;Insuffisance respiratoire du nouveau-né
P288;Autres affections respiratoires précisées chez le nouveau-né
P289;Affection respiratoire du nouveau-né, sans précision
P290;Insuffisance cardiaque néonatale
P291;Arythmie cardiaque néonatale
P292;Hypertension néonatale
P293;Persistance de la circulation fotale
P294;Ischémie transitoire du myocarde du nouveau-né
P298;Autres affections cardio-vasculaires survenant pendant la période périnatale
P299;Affection cardio-vasculaire survenant pendant la période périnatale, sans précision
P350;Syndrome de rubéole congénitale
P351;Infection congénitale à cytomégalovirus
P352;Infection virale congénitale herpétique [herpes simplex]
P353;Hépatite virale congénitale
P358;Autres maladies virales congénitales
P359;Maladie virale congénitale, sans précision
P360;Supprimé 2001
P3600;Septicémie du nouveau-né à streptocoques, groupe B
P3609;Infection du nouveau-né à streptocoques, groupe B
P361;Supprimé 2001
P3610;Septicémie du nouveau-né à streptocoques, autres et sans précision
P3619;Infection du nouveau-né à streptocoques, autres et sans précision
P362;Supprimé 2001
P3620;Septicémie du nouveau-né à staphylocoques dorés
P3629;Infection du nouveau-né à staphylocoques dorés
P363;Supprimé 2001
P3630;Septicémie du nouveau-né à staphylocoques, autres et sans précision
P3639;Infection du nouveau-né à staphylocoques, autres et sans précision
P364;Supprimé 2001
P3640;Septicémie du nouveau-né à Escherichia coli
P3649;Infection du nouveau-né à Escherichia coli
P365;Supprimé 2001
P3650;Septicémie du nouveau-né due à des anaérobies
P3659;Infection du nouveau-né due à des anaérobies
P368;Supprimé 2001
P3680;Autres septicémies bactériennes du nouveau-né
P3689;Autres infections bactériennes du nouveau-né
P369;Supprimé 2001
P3690;Septicémie bactérienne du nouveau-né, sans précision
P3699;Infection bactérienne du nouveau-né, sans précision
P370;Tuberculose congénitale
P371;Toxoplasmose congénitale
P372;Listériose néonatale (disséminée)
P373;Paludisme congénital à Plasmodium falciparum
P374;Autres formes de paludisme congénital
P375;Candidose néonatale
P378;Autres maladies infectieuses et parasitaires congénitales précisées
P379;Maladie infectieuse ou parasitaire congénitale, sans précision
P38;Omphalite du nouveau-né, avec ou sans hémorragie légère
P390;Mastite infectieuse néonatale
P391;Conjonctivite et dacryocystite néonatales
P392;Infection intra-amniotique du fotus, non classée ailleurs
P393;Infection néonatale des voies urinaires
P394;Infection néonatale de la peau
P398;Autres infections spécifiques précisées de la période périnatale
P399;Infection spécifique de la période périnatale, sans précision
P500;Perte de sang fotal due à une insertion vélamenteuse du cordon
P501;Perte de sang fotal due à une rupture du cordon
P502;Perte de sang fotal d'origine placentaire
P503;Hémorragie vers un jumeau
P504;Hémorragie vers la circulation maternelle
P505;Perte de sang fotal au niveau de la section du cordon d'un jumeau
P508;Autres pertes de sang fotal
P509;Perte de sang fotal, sans précision
P510;Hémorragie ombilicale massive du nouveau-né
P518;Autres hémorragies ombilicales du nouveau-né
P519;Hémorragie ombilicale du nouveau-né, sans précision
P520;Hémorragie intraventriculaire (non traumatique), degré 1, du fotus et du nouveau-né
P521;Hémorragie intraventriculaire (non traumatique), degré 2, du fotus et du nouveau-né
P522;Hémorragie intraventriculaire (non traumatique), degré 3, du fotus et du nouveau-né
P523;Hémorragie intraventriculaire (non traumatique) du fotus et du nouveau-né, sans précision
P524;Hémorragie intracérébrale (non traumatique) du fotus et du nouveau-né
P525;Hémorragie sous-arachnoïdienne (non traumatique) du fotus et du nouveau-né
P526;Hémorragie cérébelleuse et de la fosse postérieure (non traumatique) du fotus et du nouveau-né
P528;Autres hémorragies intracrâniennes (non traumatiques) du fotus et du nouveau-né
P529;Hémorragie intracrânienne (non traumatique) du fotus et du nouveau-né, sans précision
P53;Maladie hémorragique du fotus et du nouveau-né
P540;Hématémèse néonatale
P541;Mélæna néonatal
P542;Hémorragie rectale néonatale
P543;Autres hémorragies gastro-intestinales néonatales
P544;Hémorragie surrénalienne néonatale
P545;Hémorragie cutanée néonatale
P546;Hémorragie vaginale néonatale
P548;Autres hémorragies néonatales précisées
P549;Hémorragie néonatale, sans précision
P550;Iso-immunisation Rh du fotus et du nouveau-né
P551;Iso-immunisation ABO du fotus et du nouveau-né
P558;Autres maladies hémolytiques du fotus et du nouveau-né
P559;Maladie hémolytique du fotus et du nouveau-né, sans précision
P560;Anasarque fotoplacentaire due à une iso-immunisation
P569;Anasarque fotoplacentaire due à des maladies hémolytiques, autres et sans précision
P570;Ictère nucléaire dû à une iso-immunisation
P578;Autres formes précisées d'ictère nucléaire
P579;Ictère nucléaire, sans précision
P580;Ictère néonatal dû à des contusions
P581;Ictère néonatal dû à un saignement
P582;Ictère néonatal dû à une infection
P583;Ictère néonatal dû à une polycythémie
P584;Ictère néonatal dû à des médicaments ou des toxines transmis par la mère ou administrés au nouveau-né
P585;Ictère néonatal dû à une déglutition de sang maternel
P588;Ictère néonatal dû à d'autres hémolyses excessives précisées
P589;Ictère néonatal dû à une hémolyse excessive, sans précision
P590;Ictère néonatal associé à un accouchement avant terme
